Marca,Modelo,Año,Versión,Color,Tipo de combustible,Motor,tiene_camara,Kilómetros,Precio,Tipo de vendedor,HP,is_4x4,is_manual,is_coupe
33,83,2025.0,348,22,3,1.0,1.0,0.0,25200.0,0,101.0,0,0,0
25,43,2021.0,228,14,3,1.6,1.0,61000.0,23200.0,0,120.0,1,0,0
6,10,2020.0,91,23,3,1.6,1.0,70000.0,16800.0,1,165.0,0,1,0
14,99,2017.0,139,14,3,2.0,1.0,105000.0,23500.0,0,154.0,0,1,0
28,44,2025.0,282,15,3,2.5,0.0,0.0,42319.0,0,184.0,1,0,0
28,26,2013.0,269,14,3,1.6,0.0,172000.0,10400.0,1,110.0,0,1,0
11,28,2017.0,106,22,3,1.6,0.0,87000.0,15200.0,0,123.0,0,1,0
5,96,2018.0,73,4,3,1.8,1.0,58000.0,19200.0,1,140.0,1,1,0
13,40,2024.0,126,4,3,1.5,1.0,0.0,39500.0,2,121.0,0,0,0
28,26,2013.0,269,23,3,1.6,0.0,155000.0,10500.0,0,110.0,0,1,0
17,69,2025.0,168,24,3,1.3,1.0,0.0,29832.0,2,170.0,0,0,0
26,0,2018.0,246,19,3,1.6,1.0,46000.0,16200.0,1,110.0,1,1,0
11,28,2015.0,103,14,3,2.0,0.0,135000.0,14800.0,0,143.0,1,1,0
14,99,2008.0,145,19,3,2.0,0.0,250000.0,5600.0,1,154.0,0,1,0
33,82,2024.0,346,4,3,1.4,1.0,1111.0,27440.0,1,150.0,0,0,0
3,102,2018.0,30,14,3,2.0,1.0,87000.0,39040.0,1,192.0,1,1,0
11,28,2019.0,107,4,0,1.5,0.0,52834.0,17224.0,2,123.0,0,1,0
28,26,2015.0,277,14,3,1.6,1.0,145000.0,12800.0,0,110.0,0,1,0
11,28,2017.0,103,19,3,1.6,1.0,145000.0,13600.0,2,110.0,0,1,0
4,87,2014.0,49,19,3,2.0,0.0,112000.0,11040.0,0,138.0,1,1,0
17,19,2019.0,160,4,3,2.4,1.0,85000.0,25600.0,1,170.0,1,0,0
14,73,2010.0,136,14,0,2.2,0.0,170000.0,12700.0,1,190.0,1,1,0
5,96,2024.0,77,19,3,1.2,1.0,6300.0,21920.0,0,132.0,1,1,0
26,0,2020.0,243,4,3,1.6,0.0,60000.0,16900.0,0,120.0,1,1,0
26,0,2018.0,243,22,3,1.6,0.0,112000.0,14320.0,0,110.0,1,1,0
26,0,2017.0,246,15,3,1.6,1.0,69000.0,14320.0,0,110.0,1,1,0
5,96,2017.0,73,14,3,1.8,1.0,80000.0,16700.0,1,140.0,0,1,0
17,35,2013.0,165,14,3,3.6,1.0,88000.0,28900.0,0,286.0,1,0,0
31,37,2007.0,297,11,3,2.0,0.0,107000.0,20000.0,1,138.0,1,1,0
25,43,2018.0,228,23,3,1.6,1.0,87000.0,19800.0,0,120.0,1,0,0
17,69,2023.0,170,19,3,1.8,1.0,35000.0,25200.0,1,170.0,0,0,0
3,102,2019.0,27,14,3,2.0,0.0,71000.0,37800.0,1,231.0,1,1,0
33,54,2025.0,345,2,3,1.0,1.0,0.0,26728.0,2,101.0,0,0,0
17,19,2024.0,162,19,3,1.3,1.0,2000.0,35759.0,2,175.0,0,0,0
28,11,2018.0,266,3,3,2.0,1.0,68387.0,16720.0,0,143.0,0,1,0
4,87,2015.0,49,19,3,2.0,0.0,110500.0,9600.0,1,138.0,0,1,0
6,8,2025.0,85,14,3,1.0,1.0,0.0,23769.0,2,120.0,0,0,0
5,96,2017.0,73,14,3,1.8,1.0,82000.0,17000.0,0,140.0,1,0,0
32,20,2022.0,317,14,3,2.0,1.0,59000.0,28720.0,1,170.0,0,0,0
32,81,2022.0,340,19,0,2.8,1.0,45000.0,48900.0,1,204.0,1,0,0
33,82,2025.0,346,22,3,1.4,1.0,0.0,29840.0,0,150.0,0,0,0
11,28,2017.0,106,19,3,1.6,0.0,73000.0,15000.0,1,110.0,0,1,0
17,19,2023.0,162,2,3,1.3,1.0,0.0,49990.0,0,155.0,0,0,0
28,11,2017.0,268,19,3,2.0,0.0,78000.0,18079.0,0,143.0,0,1,0
33,83,2021.0,348,11,3,1.0,0.0,41000.0,22400.0,1,101.0,0,0,0
5,96,2023.0,77,4,3,1.2,0.0,13000.0,23920.0,1,132.0,1,0,0
28,26,2018.0,275,23,3,1.6,1.0,69000.0,17112.0,0,110.0,0,1,0
26,0,2021.0,249,4,3,1.6,0.0,43200.0,22552.0,0,110.0,0,1,0
5,96,2019.0,75,23,3,1.8,1.0,56000.0,22500.0,1,140.0,1,0,0
20,75,2013.0,186,15,3,2.4,1.0,190000.0,18000.0,1,185.0,0,0,0
14,99,2015.0,144,22,3,2.0,0.0,143000.0,15990.0,0,154.0,0,1,0
28,26,2017.0,275,23,3,2.0,1.0,129000.0,15200.0,0,143.0,0,1,0
28,26,2013.0,269,28,3,1.6,0.0,115000.0,11440.0,0,110.0,0,1,0
11,28,2015.0,103,14,3,1.6,0.0,90500.0,12800.0,0,110.0,0,1,0
13,22,2010.0,123,22,3,2.4,0.0,167000.0,13200.0,1,185.0,0,0,0
25,43,2020.0,228,14,3,1.6,1.0,120000.0,22400.0,0,120.0,1,0,0
17,19,2019.0,160,4,3,2.4,1.0,67000.0,27920.0,0,170.0,1,0,0
25,43,2021.0,228,4,3,1.6,1.0,45000.0,25600.0,1,120.0,1,0,0
33,82,2024.0,346,14,3,1.4,1.0,9000.0,33600.0,1,150.0,0,0,0
32,81,2022.0,340,19,0,2.8,1.0,40000.0,52000.0,2,204.0,1,0,0
