Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Precio,Tipo de vendedor,HP,Tracción
mercedesbenz,claseglk,2013.0,glk300 city,Gris plata,Nafta,5.0,automatica,3.0,0,135000.0,24500.0,particular,231.0,4x4
volkswagen,taos,2025.0,250 tsi comfortline,Plateado,Nafta,5.0,automatica,1.4,1,0.0,31200.0,tienda,150.0,4x2
chevrolet,tracker,2017.0,ltz,Blanco,Nafta,5.0,manual,1.8,1,100378.0,14000.0,concesionaria,140.0,4x2
volkswagen,taos,2025.0,250 tsi comfortline,Gris plata,Nafta,5.0,automatica,1.4,1,0.0,13840.0,tienda,150.0,4x2
renault,duster,2025.0,tce turbo iconic xtronic,Gris plata,Nafta,5.0,automatica,1.3,1,0.0,23992.0,tienda,155.0,4x4
jeep,compass,2025.0,t270 series,Gris plata,Nafta,5.0,automatica,1.3,1,0.0,36400.0,tienda,272.0,4x2
peugeot,2008,2022.0,feline,Blanco,Nafta,5.0,manual,1.6,1,44000.0,20960.0,particular,150.0,4x4
jeep,patriot,2012.0,sport,Gris plata,Nafta,5.0,automatica,2.4,0,184000.0,13200.0,particular,170.0,4x4
hyundai,tucson,2007.0,,Bordó,Diésel,5.0,manual,2.0,0,265000.0,6400.0,tienda,154.0,4x2
audi,q5,2025.0,tfsi,Plateado,Híbrido,5.0,automatica,2.0,1,0.0,81000.0,concesionaria,252.0,4x4
chevrolet,tracker,2024.0,,Blanco,Nafta,5.0,manual,1.2,1,6900.0,22800.0,concesionaria,132.0,4x4
fiat,pulse,2022.0,drive gse,Plateado,Nafta,5.0,manual,1.3,1,78428.0,19360.0,concesionaria,110.0,4x2
toyota,corollacross,2025.0,seg ecvt,Blanco,Híbrido,5.0,automatica,1.8,1,0.0,41200.0,concesionaria,170.0,4x2
toyota,hiluxsw4,2009.0,srv cuero,Negro,Diésel,5.0,manual,3.0,0,182427.0,20400.0,concesionaria,171.0,4x4
chevrolet,tracker,2015.0,ltz,Gris plata,Nafta,5.0,manual,1.8,1,156000.0,14800.0,concesionaria,140.0,4x2
jeep,compass,2019.0,td at9 trailhawk,Gris plata,Nafta,5.0,automatica,2.4,0,92500.0,25950.0,particular,170.0,4x4
baic,x35,2025.0,luxury,Azul,Nafta,5.0,automatica,1.5,1,0.0,28200.0,concesionaria,148.0,4x4
jeep,compass,2025.0,t270 series,Blanco,Nafta,5.0,automatica,1.3,1,0.0,31384.0,tienda,272.0,4x2
jeep,commander,2023.0,td380 at9 limited,Negro,Diésel,5.0,automatica,2.0,0,1000.0,41600.0,concesionaria,272.0,4x4
renault,duster,2013.0,luxe nav,Blanco,Nafta,5.0,manual,2.0,0,130000.0,11912.0,particular,138.0,4x4
ford,ecosport,2018.0,gdi storm,Azul,Nafta,5.0,automatica,2.0,1,85000.0,21000.0,particular,170.0,4x4
renault,duster,2012.0,privilege,Negro,Nafta,5.0,manual,2.0,0,185000.0,10800.0,concesionaria,138.0,4x2
citroen,c4cactus,2018.0,thp 165 shine,Plateado,Nafta,5.0,automatica,1.2,1,65100.0,12800.0,particular,165.0,4x2
fiat,pulse,2024.0,audace,Gris plata,Nafta,5.0,automatica,1.0,0,0.0,22240.0,particular,110.0,4x2
ds,ds7,2025.0,pallas,Gris plata,Nafta,5.0,automatica,1.6,1,0.0,56800.0,concesionaria,215.0,4x2
chevrolet,tracker,2025.0,ltz,Rojo,Nafta,5.0,automatica,1.2,1,0.0,26162.0,tienda,132.0,4x4
renault,duster,2018.0,ph2 privilege,Bordó,Nafta,5.0,manual,1.6,0,87028.0,11300.0,tienda,110.0,4x2
peugeot,3008,2024.0,gtline thp,Azul,Nafta,5.0,automatica,1.6,0,10000.0,45000.0,concesionaria,165.0,4x4
